source_en,ar_ref,mt_output
"Recalling in this context that the killing of members of an ethnic group with the intention of destroying such a group, in whole or in part, constitutes a crime punishable under international law,",وإذ يشير في هذا السياق الى أن قتل أفراد جماعة إثنية بهـــدف تدمير هذه الجماعـــة، كليا أو جزئيا، يشكل جريمة يُعاقب عليها بموجب القانون الدولي،,وإذ يشير في هذا السياق إلى أن قتل أفراد مجموعة عرقية بقصد تدمير هذه المجموعة، كليًا أو جزئيًا، يشكل جريمة يعاقب عليها القانون الدولي،
The Central Organ firmly supported the efforts made by the countries of the Region to deal with the situation prevailing in Anjouan.,ويؤيد الجهاز المركزي بحزم الجهود التي تبذلها بلدان المنطقة للتصدي للحالة السائدة في أنجوان.,ويؤيد الجهاز المركزي بقوة الجهود التي تبذلها بلدان المنطقة للتعامل مع الوضع السائد في أنجوان.
"Consequently, school desks and textbooks may not be available for distribution at the start of the 1998/99 school year.",ونتيجة لذلك، فقد ﻻ تتوافر مرة أخرى المكاتب المدرسية والكتب الدراسية للتوزيع في بداية العام الدراسي ٨٩٩١-٩٩٩١.,ونتيجة لذلك، قد لا تكون المكاتب المدرسية والكتب المدرسية متاحة للتوزيع في بداية العام الدراسي 1998/1999.
"9. And one more thing. My Abkhaz brothers, we are not alone.",٩ - وثمة شيء آخر إخوتي اﻷبخاز، إننا لسنا وحدنا.,9. وشيء آخر. إخوتي الأبخاز، نحن لسنا وحدنا.
"Acting under Chapter VII of the Charter of the United Nations,",وإذ يتصرف بموجب الفصل السابع من ميثاق اﻷمم المتحدة،,وبناء على الفصل السابع من ميثاق الأمم المتحدة،
The movement of animals from the centre and south of the country to the northern region in search of pasture exacerbated the outbreak of foot-and-mouth disease.,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.
LETTER DATED 8 FEBRUARY 1999 FROM THE PERMANENT REPRESENTATIVE OF,رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة,رسالة مؤرخة 8 شباط/فبراير 1999 من الممثل الدائم لـ
"(g) The route in the district of Kabompo known as Dicolonga, which links the UNITA base in Macondo (Angola) and the Zambian village of Dicolonga and the vast area of Chief Nhaculenga.",)ز( الطريق الواقعة في مقاطعة كابومبو والتي تعرف باسم ديكولونغا، وتربط بين قاعدة يونيتا في ماكوندو )أنغوﻻ( وقرية ديكولونغا في زامبيا والمنطقة الكبيرة التابعة للزعيم نباكولينغا.,(ز) الطريق في مقاطعة كابومبو المعروف باسم ديكولونغا، الذي يربط قاعدة يونيتا في ماكوندو (أنغولا) وقرية ديكولونغا الزامبية ومنطقة شيف نهاكولنغا الشاسعة.
B. Requirements emanating from documents A/46/827-S/23308 and A/46/828-S/23309,باء - الشروط الناشئة بموجب الوثيقتين A/46/827-S/23308 و A/46/828-S/23309,باء - المتطلبات المنبثقة عن الوثيقتين A/46/827-S/23308 وA/46/828-S/23309
2. The situation between Eritrea and Ethiopia,٢ - الحالة بين إريتريا وإثيوبيا,2. الوضع بين إريتريا وإثيوبيا
