source_row_id,sub_subtype,keyword,best_match,ar_ref,mt_output,source_en,ocs,cps_proxy,sfr_proxy,mpqs_lite,accepts_basic,predicted_label,confidence
1,Meaning Shift,حالة,أجواء,ويؤيد الجهاز المركزي بحزم الجهود التي تبذلها بلدان المنطقة للتصدي للحالة السائدة في أنجوان.,ويؤيد الجهاز المركزي بقوة الجهود التي تبذلها بلدان المنطقة للتعامل مع الوضع السائد في أنجوان.,The Central Organ firmly supported the efforts made by the countries of the Region to deal with the situation prevailing in Anjouan.,1,0.7143,0.5263,0.753,True,,0.0
1,Meaning Shift,حالة,الغلاف الجوي,ويؤيد الجهاز المركزي بحزم الجهود التي تبذلها بلدان المنطقة للتصدي للحالة السائدة في أنجوان.,ويؤيد الجهاز المركزي بقوة الجهود التي تبذلها بلدان المنطقة للتعامل مع الوضع السائد في أنجوان.,The Central Organ firmly supported the efforts made by the countries of the Region to deal with the situation prevailing in Anjouan.,1,0.7143,0.5263,0.753,True,,0.0
1,Meaning Shift,منطقة,مجال,ويؤيد الجهاز المركزي بحزم الجهود التي تبذلها بلدان المنطقة للتصدي للحالة السائدة في أنجوان.,ويؤيد الجهاز المركزي بقوة الجهود التي تبذلها بلدان المنطقة للتعامل مع الوضع السائد في أنجوان.,The Central Organ firmly supported the efforts made by the countries of the Region to deal with the situation prevailing in Anjouan.,1,0.6429,0.5263,0.7209,True,,0.0
2,Register Mismatch,أخرى,المزيد,ونتيجة لذلك، فقد ﻻ تتوافر مرة أخرى المكاتب المدرسية والكتب الدراسية للتوزيع في بداية العام الدراسي ٨٩٩١-٩٩٩١.,ونتيجة لذلك، قد لا تكون المكاتب المدرسية والكتب المدرسية متاحة للتوزيع في بداية العام الدراسي 1998/1999.,"Consequently, school desks and textbooks may not be available for distribution at the start of the 1998/99 school year.",1,0.625,0.4545,0.6949,True,,0.0
2,Register Mismatch,أخرى,وغيرها,ونتيجة لذلك، فقد ﻻ تتوافر مرة أخرى المكاتب المدرسية والكتب الدراسية للتوزيع في بداية العام الدراسي ٨٩٩١-٩٩٩١.,ونتيجة لذلك، قد لا تكون المكاتب المدرسية والكتب المدرسية متاحة للتوزيع في بداية العام الدراسي 1998/1999.,"Consequently, school desks and textbooks may not be available for distribution at the start of the 1998/99 school year.",1,0.625,0.4545,0.6949,True,,0.0
5,Meaning Shift,حالة,أجواء,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.,The movement of animals from the centre and south of the country to the northern region in search of pasture exacerbated the outbreak of foot-and-mouth disease.,1,0.6471,0.44,0.7012,True,,0.0
5,Meaning Shift,حالة,الغلاف الجوي,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.,The movement of animals from the centre and south of the country to the northern region in search of pasture exacerbated the outbreak of foot-and-mouth disease.,1,0.6471,0.44,0.7012,True,,0.0
5,Meaning Shift,منطقة,مجال,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.,The movement of animals from the centre and south of the country to the northern region in search of pasture exacerbated the outbreak of foot-and-mouth disease.,1,0.5556,0.44,0.66,True,,0.0
5,Perfective to Progressive,حث,يحث,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.,The movement of animals from the centre and south of the country to the northern region in search of pasture exacerbated the outbreak of foot-and-mouth disease.,1,0.5556,0.44,0.66,True,,0.0
6,Meaning Shift,بعثة,عملية,رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة,رسالة مؤرخة 8 شباط/فبراير 1999 من الممثل الدائم لـ,LETTER DATED 8 FEBRUARY 1999 FROM THE PERMANENT REPRESENTATIVE OF,1,0.4444,0.2857,0.5714,True,,0.0
6,Meaning Shift,بعثة,قوة,رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة,رسالة مؤرخة 8 شباط/فبراير 1999 من الممثل الدائم لـ,LETTER DATED 8 FEBRUARY 1999 FROM THE PERMANENT REPRESENTATIVE OF,1,0.4444,0.2857,0.5714,True,,0.0
