Sentence_ID,MT Tool,mt_output,en,ar,Linguistic Shift Type,Subtype,Sub-Subtype,Keyword,Best_Match,Severity_Level,Severity_Score,SubSubtype_WGT,TQA_Category,Shift_Group_Weight,TQA_Category_Weight,tier
2014/s/2014/869/17:4,en_ar_DEEP,وعلى سبيل المثال، عملت المديرية التنفيذية للجنة مكافحة الإرهاب على نطاق واسع مع الدول لبناء قدراتها على إدارة الحدود من أجل مراقبة الحركات الإرهابية وقدراتها في مجال العدالة الجنائية على معالجة غسل الأموال.,"The Counter-Terrorism Committee Executive Directorate, for example, has worked extensively with States to build their border management capacities to control terrorist movements and their criminal justice capacity to tackle money-laundering.",فالمديرية التنفيذية للجنة مكافحة الإرهاب، على سبيل المثال، عملت بشكل مكثّف مع الدول من أجل بناء قدرات هذه الدول في مجال إدارة الحدود لمراقبة تحركات الإرهابيين، وقدراتها في مجال العدالة الجنائية على التصدي لغسل الأموال.,Semantic Divergence,Semantic shift ,Meaning Shift,التحركات الإرهابية,الحركات الإرهابية,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2014/s/2014/935/72:3,en_ar_DEEPL,وكان قد أجرى العديد من المبادلات مع الحكومة المغربية، التي طلبت قبل قبول استئناف الدبلوماسية المكوكية عقد اجتماع لتوضيح شواغلها بشأن التقرير الأخير للأمين العام (S/2014/258)، موضحا أن المغرب يعتبر أن ذلك سيسمح للعملية بالمضي قدما بأفضل طريقة ممكنة.,"He had held numerous exchanges with the Moroccan Government, which, before accepting the resumption of shuttle diplomacy, had requested a meeting to clarify its concerns regarding the latest report of the Secretary-General (S/2014/258), specifying that Morocco considered that this would allow the process to move forward in the best possible manner.",وأوضح أنه أجرى العديد من المناقشات مع الحكومة المغربية التي طلبت أولا، قبل قبول استئناف المساعي الدبلوماسية المكوكية، عقد اجتماع من أجل توضيح شواغلها بشأن التقرير الأخير للأمين العام (S/2014/258)، مؤكدة أن المغرب يرى أن ذلك سيسمح للعملية بالتقدم على نحو أمثل.,Semantic Divergence,Semantic Shift,Meaning Shift,المناقشات,المبادلات,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2005/s/2005/604/24:1,en_ar_TRANSFORMERS,15 - في 8 أيلول/سبتمبر، بلغ القوام الإجمالي لقوة عملية الأمم المتحدة في كوت ديفوار 430 6 فردا مقابل قوام مأذون به قدره 090 7 فردا، منهم 200 مراقب عسكري.,"15. As of 8 September, the overall force strength of UNOCI stood at 6,430, against an authorized strength of 7,090, including 200 military observers.",15 - في 8 أيلول/سبتمبر، بلغ إجمالي قوام عملية بعثة الأمم المتحدة في كوت ديفوار 430 6 فردا، مقابل القوام المأذون به وهو 090 7 فردا، من بينهم 200 من المراقبين العسكريين.,Semantic Divergence,Semantic Shift,Meaning Shift,بعثة , قوة,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2014/s/2014/430/50:1,en_ar_GOOGLE,19 - يقرر أن تكون ولاية عملية الأمم المتحدة في كوت ديفوار على النحو التالي:,19. Decides that the mandate of UNOCI shall be the following:,19 - يقرر أن تشمل ولاية بعثة الأمم المتحدة في كوت ديفوار ما يلي:,Semantic Divergence,Semantic Shift,Meaning Shift,بعثة,عملية,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2011/s/2011/463/291:7,en_ar_TRANSFORMERS,والتعاون في المنطقة دون الإقليمية آخذ في التحسن باستمرار، ولكن ينبغي زيادة تعزيزه، لا سيما في المناطق الحدودية، من أجل تعزيز الضوابط ضد احتمال وقوع غارة إرهابية وانتشار الجريمة عبر الوطنية.,"Cooperation in the subregion is continuously improving, but should be further strengthened, especially in border areas, in order to bolster controls against possible terrorist incursion and proliferation of transnational crime.",ويشهد التعاون في المنطقة دون الإقليمية تحسناً مستمراً، ولكن ينبغي تعزيزه بقدر أكبر لا سيما في المناطق الحدودية وذلك من أجل تعزيز الضوابط للحماية من أي توغل إرهابي محتمل وانتشار الجريمة العابرة للحدود.,Semantic Divergence,Semantic Shift,Meaning Shift,تسلل إرهابي ,غارة ارهابية,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2008/s/2008/251/40:4,en_ar_TRANSFORMERS,ويتزايد وضوح مدى التلوث بالذخائر العنقودية مع تقدم أعمال المنظمة.,The extent of cluster-munition contamination is increasingly evident as Landmine Action's work progresses.,ويتجلى مدى انتشار الذخيرة العنقودية بشكل متزايد مع تقدم عمل منظمة مكافحة الألغام الأرضية.,Semantic Divergence,Translation Gap,Total Omission,منظمة مكافحة الألغام الأرضية,,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2002/s/2002/150/8:1,en_ar_DEEP,(ب) وفي الثاني: توغل تشكيل تركي مكون من طائرتين إف 4 من منطقة كاني راش في الساعة 48/11.,"(b) In the second, a Turkish formation consisting of two F-4 aircraft penetrated from the Kani Rash area at 1148 hours.",ب - الثاني في الساعة 48/11 خرق تشكيل جوي تركي مؤلف من طائرتين نوع (ف - 4) من منطقة كاني رش.,Semantic Divergence,Translation Gap,Total Omission,جوي ,,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2009/s/2009/170/31:1,en_ar_TRANSFORMERS,(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول، والمنظمات دون الإقليمية والإقليمية والدولية، والترتيبات المتعددة الأطراف التي تتناول ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بالقرارات 1540 (2004) و 1267 (1999) و 1373 (2001)، مع تقييم مستوى تبادل المعلومات والتنسيق على وجه الخصوص بشأن الزيارات إلى البلدان، وتقديم توصيات محددة، عند الاقتضاء، لتعزيز التعاون.,"(h) Develop methodologies to improve the effectiveness of cooperation with individual States, subregional, regional and international organizations, multilateral arrangements dealing with export controls and relevant entities within the United Nations system, and to assess the level of cooperation between the Committees established pursuant to resolutions 1540 (2004), 1267 (1999) and 1373 (2001), assessing, in particular, the level of information sharing and coordination on visits to countries, and make specific recommendations, if appropriate, for enhancing cooperation.",(ح) وضع منهجيات لتحسين فعالية التعاون مع فرادى الدول والمنظمات دون الإقليمية والمنظمات الإقليمية والمنظمات الدولية والترتيبات المتعددة الأطراف التي تتعامل مع ضوابط التصدير والكيانات ذات الصلة داخل منظومة الأمم المتحدة، وتقييم مستوى التعاون بين اللجان المنشأة عملا بقرارات مجلس الأمن 1540 (2004) و 1267 (1999) و 1373 (2001)، والعمل بوجه خاص على تقييم مستوى تبادل المعلومات والتنسيق فيما يتعلق بالزيارات القطرية، وطرح توصيات محددة، حسب الاقتضاء، من أجل تعزيز التعاون.,Semantic Divergence,Translation Gap,Total Omission,بقرارات مجلس الامن,بالقرارات,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2014/s/2014/921/27:1,en_ar_TRANSFORMERS,جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة لها، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنتشرة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))؛ وإمدادات المعدات العسكرية غير الفتاكة المخصصة حصرا للاستخدامات الإنسانية أو الوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ والملابس الواقية، بما في ذلك سترات الشظايا والخوذات العسكرية، التي يصدرها مؤقتا إلى جمهورية أفريقيا الوسطى موظفو الأمم المتحدة وممثلو وسائط الإعلام والعاملون في المجالين الإنساني والإنمائي والأفراد المرتبطون بهم، لاستعمالهم الشخصي فقط (الفقرة 54 (ج))؛ وإمدادات الأسلحة الصغيرة وغيرها من المعدات ذات الصلة المخصصة حصرا للاستخدام في الدوريات الدولية التي توفر الأمن في منطقة نهر سانغا المشمولة بحماية ثلاثية للدفاع ضد الصيد غير المشروع وتهريب الأعرج والأسلحة، وغير ذلك من الأنشطة التي تتعارض مع القوانين الوطنية لجمهورية أفريقيا الوسطى أو مع الالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ وإمدادات الأسلحة وغيرها من المعدات الفتاكة ذات الصلة لقوات الأمن في جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى أو استخدامها فيها، على النحو الذي وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو غير ذلك من مبيعات الأسلحة والأعتدة ذات الصلة أو توريدها، أو تقديم المساعدة أو الأفراد (الفقرة 54 (الفقرة 54)).,"Central African Republic and its guard unit, the African Union Regional Task Force and the French forces deployed in the Central African Republic (para. 54 (a)); supplies of non-lethal military equipment intended solely for humanitarian or protective use, and related technical assistance or training (para. 54 (b)); protective clothing, including flak jackets and military helmets, temporarily exported to the Central African Republic by United Nations personnel, representatives of the media and humanitarian and development workers and associated personnel, for their personal use only (para. 54 (c)); supplies of small arms and other related equipment intended solely for use in international patrols providing security in the Sangha River Trinational Protected Area to defend against poaching, the smuggling of ivory and arms, and other activities contrary to the national laws of the Central African Republic or to the international legal obligations of the Central African Republic (para. 54 (d)); supplies of arms and other related lethal equipment to the Central African Republic security forces, intended solely for support of or use in the security sector reform process in the Central African Republic, as approved in advance by the Committee (para. 54 (e)); or other sales or supply of arms and related materiel, or provision of assistance or personnel (para. 54 (f)).",١٦ - وترد حالات الإعفاء من حظر توريد الأسلحة في الفقرة 54 من القرار 2127 (2013) ويجوز منح الإعفاء من أجل ما يلي: الإمدادات المخصصة حصرا لدعم أو استخدام بعثة توطيد السلام في جمهورية أفريقيا الوسطى، وبعثة الدعم الدولية بقيادة أفريقية في جمهورية أفريقيا الوسطى، ومكتب الأمم المتحدة المتكامل لبناء السلام في جمهورية أفريقيا الوسطى ووحدة الحراسة التابعة له، وفرقة العمل الإقليمية التابعة للاتحاد الأفريقي، والقوات الفرنسية المنشورة في جمهورية أفريقيا الوسطى (الفقرة 54 (أ))()؛ أو إمدادات المعدات العسكرية غير الفتاكة المقصود استخدامها حصراً في الأغراض الإنسانية والوقائية، وما يتصل بذلك من مساعدة أو تدريب تقنيين (الفقرة 54 (ب))؛ أو الملابس الواقية، بما فيها السترات الواقية من الرصاص والخوذات العسكرية التي يجلبها بصفة مؤقتة إلى جمهورية أفريقيا الوسطى أفراد الأمم المتحدة وممثلو وسائط الإعلام والعاملون في مجالي الشؤون الإنسانية والإنمائية والأفراد المرتبطون بهم، لاستخدامهم الشخصي فقط (الفقرة 54 (ج))؛ أو إمدادات الأسلحة الصغيرة والمعدات الأخرى ذات الصلة المخصصة حصرا للاستخدام في دوريات دولية توفر الأمن في منطقة نهر سانغا المحمية التي تتشاطرها ثلاثة بلدان لحمايتها من الصيد غير المشروع وتهريب العاج والأسلحة، وغيرها من الأنشطة المخالفة للقوانين الوطنية لجمهورية أفريقيا الوسطى أو للالتزامات القانونية الدولية لجمهورية أفريقيا الوسطى (الفقرة 54 (د))؛ أو إمدادات الأسلحة والمعدات الفتاكة المتصلة بها لقوات أمن جمهورية أفريقيا الوسطى، المقصود بها حصرا دعم عملية إصلاح قطاع الأمن في جمهورية أفريقيا الوسطى واستعمالها فيها، حسبما وافقت عليه اللجنة مسبقا (الفقرة 54 (هـ))؛ أو مبيعات الأسلحة الأخرى وما يتصل بها من أعتدة أو توريدها أو توفير المساعدة أو الأفراد بأي شكل آخر (الفقرة 54 (و)).,Semantic Divergence,Translation Gap,Total Omission,الأخرى,,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
2012/s/prst/2012/23/21:2,en_ar_TRANSFORMERS,ويكرر المجلس تأكيد اعتزامه مواصلة مكافحة الإفلات من العقاب ودعم المساءلة بالوسائل المناسبة.,The Council reiterates its intention to continue forcefully to fight impunity and uphold accountability with appropriate means.,ويؤكد المجلس من جديد عزمه على أن يواصل بقوة مكافحة الإفلات من العقاب ودعم المساءلة بالسبل المناسبة.,Semantic Divergence,Translation Gap,Total Omission,بقوة,,Critical,5,0.3,Accuracy,0.4,0.45,Tier0
