Sentence_ID,MT_Tool,seed_source,error_label,keyword,best_match,ocs_match_rule,clean_ar,error_ar,ocs,cps,sfr,csr,anchor_validity,phenomenon_clarity,arabic_naturalness,collateral_severity,tier2_seed_recommendation,tier2_seed_recommendation_final,cell15_status
1994/s/res/918_1994_/21:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بموجب,[OMITTED],exact,وإذ يشير في هذا السياق الى أن قتل أفراد جماعة إثنية بهـــدف تدمير هذه الجماعـــة، كليا أو جزئيا، يشكل جريمة يُعاقب عليها بموجب القانون الدولي،,وإذ يشير في هذا السياق إلى أن قتل أفراد مجموعة عرقية بقصد تدمير هذه المجموعة، كليًا أو جزئيًا، يشكل جريمة يعاقب عليها القانون الدولي،,1.0,0.8540145985401459,0.9701274037361144,0.823943661971831,5,5,5,2,1,1,success
1998/s/1998/1217/55:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_لل,ويؤيد الجهاز المركزي بحزم الجهود التي تبذلها بلدان المنطقة للتصدي للحالة السائدة في أنجوان.,ويؤيد الجهاز المركزي بقوة الجهود التي تبذلها بلدان المنطقة للتعامل مع الوضع السائد في أنجوان.,1.0,0.8387096774193549,0.9827440977096558,0.8494623655913979,5,5,5,2,1,1,success
1998/s/1998/477/165:4,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,أخرى,[OMITTED],exact,ونتيجة لذلك، فقد ﻻ تتوافر مرة أخرى المكاتب المدرسية والكتب الدراسية للتوزيع في بداية العام الدراسي ٨٩٩١-٩٩٩١.,ونتيجة لذلك، قد لا تكون المكاتب المدرسية والكتب المدرسية متاحة للتوزيع في بداية العام الدراسي 1998/1999.,1.0,0.7238095238095238,0.8990871906280518,0.6972477064220184,5,5,4,2,1,1,success
1998/s/1998/898/35:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,وثمة,[OMITTED],exact,٩ - وثمة شيء آخر إخوتي اﻷبخاز، إننا لسنا وحدنا.,9. وشيء آخر. إخوتي الأبخاز، نحن لسنا وحدنا.,1.0,0.7674418604651163,0.8981534242630005,0.7234042553191489,5,5,4,2,1,1,success
1998/s/res/1205_1998_/20:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بموجب,[OMITTED],exact,وإذ يتصرف بموجب الفصل السابع من ميثاق اﻷمم المتحدة،,وبناء على الفصل السابع من ميثاق الأمم المتحدة،,1.0,0.7608695652173914,0.9243756532669068,0.7058823529411764,5,5,5,1,1,1,success
1999/s/1999/1162/90:5,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],exact,وأدى انتقال الحيوانات من وسط البلد وجنوبه إلى المنطقة الشمالية بحثا عن المرعى إلى تفاقم حالة تفشي الحمى القﻻعية.,وأدت حركة الحيوانات من وسط وجنوب البلاد إلى المنطقة الشمالية بحثا عن المراعي إلى تفاقم تفشي مرض الحمى القلاعية.,1.0,0.7567567567567568,0.9441068172454834,0.7321428571428572,5,5,5,2,1,1,success
1999/s/1999/128/11:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بعثة,[OMITTED],prefix_ال,رسالة مؤرخة ٨ شباط/فبراير ١٩٩٩ موجهة من البعثة الدائمة,رسالة مؤرخة 8 شباط/فبراير 1999 من الممثل الدائم لـ,1.0,0.6799999999999999,0.8799164891242981,0.6851851851851851,5,5,4,2,1,1,success
1999/s/1999/182/61:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,تابع,[OMITTED],both_ال_ة,)ز( الطريق الواقعة في مقاطعة كابومبو والتي تعرف باسم ديكولونغا، وتربط بين قاعدة يونيتا في ماكوندو )أنغوﻻ( وقرية ديكولونغا في زامبيا والمنطقة الكبيرة التابعة للزعيم نباكولينغا.,(ز) الطريق في مقاطعة كابومبو المعروف باسم ديكولونغا، الذي يربط قاعدة يونيتا في ماكوندو (أنغولا) وقرية ديكولونغا الزامبية ومنطقة شيف نهاكولنغا الشاسعة.,1.0,0.6549707602339181,0.9306883215904236,0.6457142857142857,5,5,4,3,1,1,success
1999/s/1999/726/42:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,بموجب,[OMITTED],exact,باء - الشروط الناشئة بموجب الوثيقتين A/46/827-S/23308 و A/46/828-S/23309,باء - المتطلبات المنبثقة عن الوثيقتين A/46/827-S/23308 وA/46/828-S/23309,1.0,0.8055555555555556,0.9020308256149292,0.7638888888888888,5,5,4,2,1,1,success
1999/s/agenda/3975/14:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,٢ - الحالة بين إريتريا وإثيوبيا,2. الوضع بين إريتريا وإثيوبيا,1.0,0.7931034482758621,0.9826837778091432,0.7741935483870968,5,5,5,1,1,1,success
1999/s/agenda/4043/14:1,en_ar_DEEP,TIER1_CLEAN_A,Total Omission,حالة,[OMITTED],prefix_ال,٢ - الحالة في تيمور الشرقية,2. الوضع في تيمور الشرقية,1.0,0.76,0.9643774032592772,0.7407407407407407,4,4,5,2,1,1,success
