sample_id,label_original,label_new,Keyword,Best_Match,ar,mt_output,en
T2_0626,Partial Translation,Total Omission,الحماية الدولية للاجئين,[OMITTED],يطلب إلى الدول الأعضاء تعزيز الحماية الدولية للاجئين وضمان حقوقهم وفقاً للمعايير الإنسانية الدولية.,يطلب إلى الدول الأعضاء تعزيز وضمان حقوقهم وفقاً للمعايير الإنسانية الدولية.,The Member States are requested to enhance international protection for refugees and ensure their rights according to international humanitarian standards.
T2_0632,Partial Translation,Total Omission,الاتفاقية الدولية لحقوق الإنسان,[OMITTED],يرحب المجلس بالجهود المبذولة لتنفيذ الاتفاقية الدولية لحقوق الإنسان في جميع الدول الأعضاء وتعزيز الالتزام بالمعايير الدولية.,يرحب المجلس بالجهود المبذولة لتنفيذ في جميع الدول الأعضاء وتعزيز الالتزام بالمعايير الدولية.,The Council welcomes the efforts made to implement the International Human Rights Convention in all member states and to strengthen adherence to international standards.
T2_0673,Partial Translation,Total Omission,مبادئ القانون الدولي العام,[OMITTED],تؤكد اللجنة على أهمية تعزيز مبادئ القانون الدولي العام في الجهود الرامية لتحقيق السلم والأمن الدوليين.,تؤكد اللجنة على أهمية تعزيز في الجهود الرامية لتحقيق السلم والأمن الدوليين.,The committee emphasizes the importance of strengthening the principles of public international law in efforts to achieve international peace and security.
T2_0742,Partial Translation,Total Omission,الاتفاقية الدولية لمكافحة الفساد,[OMITTED],اعتمدت الدول الأعضاء في الأمم المتحدة الاتفاقية الدولية لمكافحة الفساد كإطار قانوني لمعالجة الفساد على المستوى العالمي.,اعتمدت الدول الأعضاء في الأمم المتحدة كإطار قانوني لمعالجة الفساد على المستوى العالمي.,The United Nations member states adopted the International Convention against Corruption as a legal framework to address corruption at the global level.
T2_0754,Partial Translation,Total Omission,الوكالة الدولية للطاقة الذرية,[OMITTED],يقرر أن تقوم الوكالة الدولية للطاقة الذرية بتعزيز المراقبة في المرافق النووية لضمان الامتثال للاتفاقيات الدولية.,يقرر أن تقوم بتعزيز المراقبة في المرافق النووية لضمان الامتثال للاتفاقيات الدولية.,Decides that the International Atomic Energy Agency shall enhance monitoring at nuclear facilities to ensure compliance with international agreements.
T2_0767,Partial Translation,Total Omission,الاتفاقية المتعلقة بحقوق الأطفال,[OMITTED],اعتمدت الدول الأعضاء في الأمم المتحدة الاتفاقية المتعلقة بحقوق الأطفال لتعزيز الرفاهية والحماية لجميع الأطفال في العالم.,اعتمدت الدول الأعضاء في الأمم المتحدة لتعزيز الرفاهية والحماية لجميع الأطفال في العالم.,The member states of the United Nations adopted the Convention on the Rights of the Child to promote the welfare and protection of all children worldwide.
T2_0776,Partial Translation,Total Omission,الخدمات الإنسانية الأساسية,[OMITTED],يطلب إلى الدول الأعضاء تعزيز الخدمات الإنسانية الأساسية لدعم المدنيين المتضررين من الأزمة الإنسانية.,يطلب إلى الدول الأعضاء تعزيز لدعم المدنيين المتضررين من الأزمة الإنسانية.,Calls upon member states to enhance basic humanitarian services to support civilians affected by the humanitarian crisis.
T2_0801,Partial Translation,Total Omission,شهادة حقوق الإنسان الدولية,[OMITTED],يطلب إلى الدول الأعضاء تقديم نسخ من شهادة حقوق الإنسان الدولية إلى اللجنة المختصة لدعم جهود المراقبة الدولية.,يطلب إلى الدول الأعضاء تقديم نسخ إلى اللجنة المختصة لدعم جهود المراقبة الدولية.,Member States are requested to submit copies of the International Human Rights Certificate to the competent committee to support international monitoring efforts.
T2_0829,Partial Translation,Total Omission,التحالف الدولي ضد الإرهاب,[OMITTED],يقرر المجلس تعزيز التعاون مع التحالف الدولي ضد الإرهاب لضمان الأمن والسلم الدوليين.,يقرر المجلس تعزيز التعاون لضمان الأمن والسلم الدوليين.,The council decides to enhance cooperation with the international coalition against terrorism to ensure international peace and security.
T2_0847,Partial Translation,Total Omission,التعاون القضائي الدولي,[OMITTED],تؤكد اللجنة أهمية التعاون القضائي الدولي لتعزيز الامتثال للقوانين الدولية ومكافحة الجرائم العابرة للحدود.,تؤكد اللجنة أهمية تعزيز الامتثال للقوانين الدولية ومكافحة الجرائم العابرة للحدود.,The committee emphasizes the importance of international judicial cooperation to enhance compliance with international laws and combat transnational crimes.
T2_0884,Partial Translation,Total Omission,لجنة مكافحة الإرهاب في الأمم المتحدة,[OMITTED],قرر المجلس تعزيز التعاون مع لجنة مكافحة الإرهاب في الأمم المتحدة لضمان تنفيذ العقوبات بشكل فعال.,قرر المجلس تعزيز التعاون لضمان تنفيذ العقوبات بشكل فعال.,The council decided to strengthen cooperation with the United Nations Counter-Terrorism Committee to ensure effective implementation of sanctions.
T2_0911,Partial Translation,Total Omission,مسؤولية الحكومة في حماية المدنيين,[OMITTED],أشار التقرير إلى مسؤولية الحكومة في حماية المدنيين خلال الأزمة الإنسانية المتفاقمة في المنطقة.,أشار التقرير إلى خلال الأزمة الإنسانية المتفاقمة في المنطقة.,The report noted the government's responsibility in protecting civilians during the worsening humanitarian crisis in the region.
T2_0947,Partial Translation,Total Omission,التصديق على الاتفاقية,[OMITTED],تؤكد اللجنة على أهمية التصديق على الاتفاقية لتعزيز الامتثال للإطار القانوني الدولي وتنفيذه بشكل فعال.,تؤكد اللجنة على أهمية لتعزيز الامتثال للإطار القانوني الدولي وتنفيذه بشكل فعال.,The committee emphasizes the importance of ratifying the convention to enhance compliance with and effective implementation of the international legal framework.
T2_0962,Partial Translation,Total Omission,الهيئة القضائية الدولية,[OMITTED],أشار التقرير الأخير إلى أن الهيئة القضائية الدولية قد اتخذت خطوات هامة لتعزيز سيادة القانون في النزاعات الدولية.,أشار التقرير الأخير إلى أن قد اتخذت خطوات هامة لتعزيز سيادة القانون في النزاعات الدولية.,The recent report indicated that the International Judicial Body has taken significant steps to strengthen the rule of law in international conflicts.
T2_0971,Partial Translation,Total Omission,مفوضية حقوق الإنسان,[OMITTED],وإذ يؤكد على أهمية دور مفوضية حقوق الإنسان في تعزيز وحماية حقوق الإنسان، يشجع الدول على التعاون الكامل معها.,وإذ يؤكد على أهمية دور في تعزيز وحماية حقوق الإنسان، يشجع الدول على التعاون الكامل معها.,"Affirming the importance of the role of the Human Rights Commission in promoting and protecting human rights, it encourages states to fully cooperate with it."
