Eval_ID,Sub_Subtype_A,Q1_A,Q2_A,Q3_A,Q4_A,Q5_A,Q6_A,Q7_A,Sub_Subtype_B,Q1_B,Q2_B,Q3_B,Q4_B,Q5_B,Q6_B,Q7_B
T2G_0041,Progressive to Perfective,1,1,0.7,1,1,5,1,Progressive to Perfective,1.0,1.0,0.7,0.0,1.0,4.0,1.0
T2G_0023,Literal Translation,1,1,0.4,0,1,4,1,Literal Translation,1.0,1.0,0.4,0.0,1.0,4.0,1.0
T2G_0056,Passive to Active Voice,1,1,0.2,1,1,4,1,Passive to Active Voice,1.0,1.0,0.2,0.0,1.0,4.0,1.0
T2G_0073,Adjective to Noun,1,1,0.2,1,1,4,1,Adjective to Noun,1.0,1.0,0.2,0.0,1.0,2.0,0.0
T2G_0001,Meaning Shift,1,1,1.0,1,1,5,1,Meaning Shift,1.0,1.0,1.0,0.0,1.0,4.0,1.0
T2G_0027,Hypernym for Hyponym,1,1,0.2,1,1,5,1,Hypernym for Hyponym,1.0,1.0,0.2,0.0,1.0,4.0,1.0
T2G_0040,Tense Shift Under Negation,1,1,0.4,1,1,5,1,Tense Shift Under Negation,1.0,1.0,0.4,0.0,1.0,4.0,1.0
T2G_0068,Gender Disagreement,1,1,0.4,1,1,4,1,Gender Disagreement,1.0,1.0,0.4,0.0,1.0,4.0,1.0
T2G_0011,Partial Translation,1,0,0.7,0,1,3,1,Partial Translation,1.0,1.0,0.7,0.0,1.0,3.0,0.0
T2G_0045,Wrong Structure,1,1,0.4,1,1,4,1,Wrong Structure,1.0,1.0,0.4,0.0,1.0,4.0,1.0
T2G_0084,Definiteness Shift,1,1,0.2,1,1,5,1,Definiteness Shift,1.0,1.0,0.2,0.0,1.0,4.0,1.0
T2G_0036,Tanween Omission,1,1,0.2,1,1,5,1,Tanween Omission,1.0,1.0,0.2,1.0,1.0,5.0,1.0
T2G_0090,Spelling Error,1,1,0.1,1,1,4,1,Spelling Error,1.0,1.0,0.1,1.0,1.0,2.0,0.0
T2G_0063,Perfective to Progressive,1,1,0.7,1,1,5,1,Perfective to Progressive,1.0,1.0,0.7,0.0,1.0,4.0,0.0
