Sentence_ID,Sub-Subtype,Keyword,Best_Match,ar,mt_output,en,generation_timestamp,seed_source,source_tier,sample_id,label_id
TIER2_Meaning_Shift_a8bf49c1,Meaning Shift,التهدئة,التصعيد,وشددت اللجنة على أهمية التهدئة في المنطقة لتحقيق السلام والاستقرار الدائمين.,وشددت اللجنة على أهمية التصعيد في المنطقة لتحقيق السلام والاستقرار الدائمين.,The committee emphasized the importance of de-escalation in the region to achieve lasting peace and stability.,2026-02-02T23:58:41.215647,LLM_GENERATED,tier2,T2_0000,0
TIER2_Meaning_Shift_c8bb120f,Meaning Shift,الحماية,المحافظة,أكدت اللجنة على أهمية تعزيز الحماية للأطفال في مناطق النزاع لضمان رفاههم وسلامتهم.,أكدت اللجنة على أهمية تعزيز المحافظة للأطفال في مناطق النزاع لضمان رفاههم وسلامتهم.,The committee emphasized the importance of enhancing protection for children in conflict areas to ensure their welfare and safety.,2026-02-02T23:58:43.753614,LLM_GENERATED,tier2,T2_0001,0
TIER2_Meaning_Shift_1ba3e22a,Meaning Shift,الاتفاقية,المعاهدة,أعرب المجلس عن ارتياحه لتنفيذ الاتفاقية الدولية لمكافحة التصحر، مشيدًا بالجهود المبذولة للتخفيف من آثار التغير المناخي.,أعرب المجلس عن ارتياحه لتنفيذ المعاهدة الدولية لمكافحة التصحر، مشيدًا بالجهود المبذولة للتخفيف من آثار التغير المناخي.,"The council expressed its satisfaction with the implementation of the international convention to combat desertification, praising the efforts made to mitigate the effects of climate change.",2026-02-02T23:58:46.635561,LLM_GENERATED,tier2,T2_0002,0
TIER2_Meaning_Shift_93b98df8,Meaning Shift,الاتفاق,الموافقة,قرر المجلس استئناف المفاوضات المتوقفة حول الاتفاق لتعزيز السلام في المنطقة.,قرر المجلس استئناف المفاوضات المتوقفة حول الموافقة لتعزيز السلام في المنطقة.,The council decided to resume the stalled negotiations on the agreement to strengthen peace in the region.,2026-02-02T23:58:49.493753,LLM_GENERATED,tier2,T2_0003,0
TIER2_Meaning_Shift_cfb5422b,Meaning Shift,الأسلحة المحظورة,الأسلحة المسموح بها,يرحب المجلس بالجهود المبذولة للحد من انتشار الأسلحة المحظورة في المنطقة وتعزيز الأمن الإقليمي.,يرحب المجلس بالجهود المبذولة للحد من انتشار الأسلحة المسموح بها في المنطقة وتعزيز الأمن الإقليمي.,The Council welcomes efforts to curb the proliferation of prohibited weapons in the region and to enhance regional security.,2026-02-02T23:58:51.536347,LLM_GENERATED,tier2,T2_0004,0
TIER2_Meaning_Shift_c99c4796,Meaning Shift,السيادة,الحكومة,قرر المجلس دعم السيادة الوطنية وتقديم المساعدة التقنية للدول الأعضاء في تعزيز مؤسساتها الديمقراطية.,قرر المجلس دعم الحكومة الوطنية وتقديم المساعدة التقنية للدول الأعضاء في تعزيز مؤسساتها الديمقراطية.,The Council decided to support national sovereignty and provide technical assistance to member states in strengthening their democratic institutions.,2026-02-02T23:58:55.687210,LLM_GENERATED,tier2,T2_0005,0
TIER2_Meaning_Shift_e037f945,Meaning Shift,النازحين,اللاجئين,أشار التقرير إلى ضرورة توفير المساعدات الإنسانية الكافية إلى النازحين بسبب النزاع المستمر في المنطقة.,أشار التقرير إلى ضرورة توفير المساعدات الإنسانية الكافية إلى اللاجئين بسبب النزاع المستمر في المنطقة.,The report noted the necessity of providing adequate humanitarian aid to the displaced due to ongoing conflict in the region.,2026-02-02T23:58:58.926289,LLM_GENERATED,tier2,T2_0006,0
TIER2_Meaning_Shift_8feec666,Meaning Shift,المادة,البند,ناشدت اللجنة الدولية الدول الأعضاء النظر في تعديل المادة المتعلقة بحقوق اللاجئين لتكون أكثر شمولية وملاءمة للظروف الحالية.,ناشدت اللجنة الدولية الدول الأعضاء النظر في تعديل البند المتعلق بحقوق اللاجئين لتكون أكثر شمولية وملاءمة للظروف الحالية.,The international committee urged member states to consider amending the article on refugees' rights to be more inclusive and suitable for current conditions.,2026-02-02T23:59:01.544800,LLM_GENERATED,tier2,T2_0007,0
TIER2_Meaning_Shift_bbedf559,Meaning Shift,السفير,الوزير,حث الأمين العام الدول الأعضاء على دعم جهود السفير في تعزيز الحوار الدولي الهادف إلى السلام والاستقرار.,حث الأمين العام الدول الأعضاء على دعم جهود الوزير في تعزيز الحوار الدولي الهادف إلى السلام والاستقرار.,The Secretary-General urged member states to support the ambassador's efforts in promoting international dialogue aimed at peace and stability.,2026-02-02T23:59:03.460522,LLM_GENERATED,tier2,T2_0008,0
TIER2_Meaning_Shift_9893c629,Meaning Shift,الحظر الجوي,الحظر البحري,رحب مجلس الأمن الدولي بتطبيق الحظر الجوي على الدول التي تنتهك قراراته المتعلقة بالأسلحة النووية.,رحب مجلس الأمن الدولي بتطبيق الحظر البحري على الدول التي تنتهك قراراته المتعلقة بالأسلحة النووية.,The UN Security Council welcomed the implementation of the air embargo on countries violating its resolutions on nuclear weapons.,2026-02-02T23:59:05.436553,LLM_GENERATED,tier2,T2_0009,0
