Sentence_ID,Sub-Subtype,Keyword,Best_Match,ar,mt_output,en,severity_score,severity_level,label_id,passed,reject_reason,csr,ocs,sfr,cps,mpqs,mpqs_mode,regime,quality_tier,flags,ocs_failed_constraints,cps_threshold,sfr_threshold_min,sfr_threshold_max,kw_count_clean_tok,kw_count_error_tok,bm_count_error_tok,ocs_norm_level,kw_norm,bm_norm,ocs_rescued_by,ocs_match_rule_kw,ocs_match_rule_bm,domain
WMT_0002,Terminology Substitution,سنة,عام,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",1,Minor,4,True,,0.7058823529411764,1.0,0.9027992486953736,0.72,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,1,light,سنة,عام,,exact,exact,news
WMT_0007,Total Omission,بتقدم معرض,[OMITTED],"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,1,True,,0.646875,1.0,0.9807519912719728,0.667741935483871,1.0,diagnostic,F,A,,,0.55,0.5,0.8,1,0,0,light,بتقدم معرض,[OMITTED],,exact_seq,,news
WMT_0009,Terminology Substitution,بتاعهم,للمعرض,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,4,True,,0.646875,1.0,0.9807519912719728,0.6560509554140128,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,1,light,بتاعهم,للمعرض,,exact,exact,news
WMT_0010,Terminology Substitution,ويست,غرب,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,4,True,,0.646875,1.0,0.9807519912719728,0.6550632911392404,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,1,light,ويست,غرب,,exact,exact,news
WMT_0020,Total Omission,وهو,[OMITTED],"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,1,True,,0.646875,1.0,0.9807519912719728,0.6529968454258674,1.0,diagnostic,F,A,,,0.55,0.5,0.8,1,0,0,light,وهو,[OMITTED],,exact,,news
WMT_0029,Terminology Substitution,بنتأقلم,التكيف,بنتأقلم مع القديم ونواكب الجديد علشان نحل المشكلة,التكيف مع القديم، واستيعاب الجديد لحل المشكلة,"Adapt the old, accommodate the new to solve issue",1,Minor,4,True,,0.6122448979591837,1.0,0.8805229663848877,0.6904761904761905,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,1,light,بنتاقلم,التكيف,,exact,exact,news
WMT_0048,Total Omission,كمان,[OMITTED],كريس جونسون كان كبير المهندسين لحكومة نيو ساوث ويلز (1995-2005) والمدير التنفيذي لوزارة التخطيط هناك (2005-2009). كمان كان المدير التنفيذي لمنظمة العمل الحضري في أستراليا بين 2011 و2019.,كريس جونسون كبير مهندسي حكومة نيوساوث ويلز السابق (1995-2005) والمدير التنفيذي، لوزارة التخطيط في نيو ساوث ويلز (2005-2009). كان المدير التنفيذي لمنظمة العمل الحضري في استراليا بين عامي 2011 و2019.,"Chris Johnson is a former NSW government architect (1995-2005) and executive director, NSW Department of Planning (2005-2009). He was CEO of Urban Taskforce Australia between 2011 and 2019.",1,Minor,1,True,,0.7868020304568528,1.0,0.9768191576004028,0.8071065989847716,1.0,diagnostic,F,A,,,0.55,0.5,0.8,1,0,0,light,كمان,[OMITTED],,exact,,news
WMT_0057,Total Omission,بيجهز,[OMITTED],معهد التمويل الدولي بيجهز لإطلاق خطة هدفها تدي فرص اقتصادية وحقوق أكتر للبنات والستات بحلول سنة 2030. الخطة بتركز على تحسين الشمولية والمرونة، عن طريق توفير التمويل، والابتكارات التكنولوجية، وتغيير القوانين والسياسات العامة.,يستعد معهد التمويل الدولي لإطلاق استراتيجية تهدف إلى تقديم الفرص الاقتصادية والحقوق للبنات والسيدات بحلول عام 2030. تركز الخطة على تحسين الشمولية والمرونة من خلال توفير إمكانية الوصول إلى التمويل والابتكارات التكنولوجية والتغييرات في القانون والسياسة العامة.,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",1,Minor,1,True,,0.6472868217054264,1.0,0.9570330381393432,0.6627906976744187,1.0,diagnostic,F,A,,,0.55,0.5,0.8,1,0,0,light,بيجهز,[OMITTED],,exact,,news
WMT_0059,Terminology Substitution,سنة,عام,معهد التمويل الدولي بيجهز لإطلاق خطة هدفها تدي فرص اقتصادية وحقوق أكتر للبنات والستات بحلول سنة 2030. الخطة بتركز على تحسين الشمولية والمرونة، عن طريق توفير التمويل، والابتكارات التكنولوجية، وتغيير القوانين والسياسات العامة.,يستعد معهد التمويل الدولي لإطلاق استراتيجية تهدف إلى تقديم الفرص الاقتصادية والحقوق للبنات والسيدات بحلول عام 2030. تركز الخطة على تحسين الشمولية والمرونة من خلال توفير إمكانية الوصول إلى التمويل والابتكارات التكنولوجية والتغييرات في القانون والسياسة العامة.,"The international financial institution is poised to launch a strategy aimed at significantly advancing the rights and economic opportunities for girls and women by 2030. The plan focuses on improving inclusivity and resilience through access to finance, technological innovation, and changes in public policy and law.",1,Minor,4,True,,0.6472868217054264,1.0,0.9570330381393432,0.6549019607843137,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,2,light,سنة,عام,,exact,exact,news
WMT_0088,Terminology Substitution,سواقين,سائقو,سواقين القطارات والمزارعين الألمان عاملين قلق لرؤساء الشركات في ألمانيا,سائقو القطارات والمزارعون الألمان يخيفون رؤساء الأعمال في ألمانيا,German farmers and train drivers are scaring Germany's bosses,1,Minor,4,True,,0.7323943661971831,1.0,0.913870096206665,0.7692307692307692,1.0,diagnostic,F,A,,,0.55,0.68,1.0,1,0,1,light,سواقين,سائقو,,exact,exact,news
