sample_id,Sub-Subtype,Keyword,Best_Match_original,Best_Match_corrected,ar,mt_output,en
T2_0610,Partial Translation,التعاون المشترك في حل النزاع,[OMITTED], التعاون ,دعا الأمين العام إلى تعزيز التعاون المشترك في حل النزاع من خلال الحوار والمفاوضات السلمية.,دعا الأمين العام إلى تعزيز التعاون من خلال الحوار والمفاوضات السلمية.,The Secretary-General called for enhancing collaboration through dialogue and peaceful negotiations to resolve the conflict.
T2_0630,Partial Translation,التنمية السياسية المستدامة,[OMITTED], التنمية,وأعرب المجلس عن دعمه لجهود تعزيز التنمية السياسية المستدامة في المنطقة لتحقيق الأمن والاستقرار.,وأعرب المجلس عن دعمه لجهود تعزيز التنمية في المنطقة لتحقيق الأمن والاستقرار.,The Council expressed its support for efforts to promote sustainable political development in the region to achieve security and stability.
T2_0640,Partial Translation,التعاون الإقليمي لتعزيز السلام,[OMITTED], تعزيز السلام,أوصى المجلس بضرورة التعاون الإقليمي لتعزيز السلام والاستقرار في المنطقة من خلال الحوار والدبلوماسية.,أوصى المجلس بضرورة تعزيز السلام والاستقرار في المنطقة من خلال الحوار والدبلوماسية.,The council recommended the necessity of regional cooperation to enhance peace and stability in the region through dialogue and diplomacy.
T2_0646,Partial Translation,الاستجابة الإنسانية للأزمة السورية,[OMITTED],الاستجابة الإنسانية,واستذكر التقرير أهمية التعاون الدولي في تعزيز الاستجابة الإنسانية للأزمة السورية، خاصة في مجالات الإغاثة والإيواء.,واستذكر التقرير أهمية التعاون الدولي في تعزيز الاستجابة الإنسانية، خاصة في مجالات الإغاثة والإيواء.,"The report recalled the importance of international cooperation in enhancing the humanitarian response to the Syrian crisis, particularly in areas of relief and shelter."
T2_0648,Partial Translation,التنمية الاقتصادية الشاملة,[OMITTED], التنمية,يؤكد المجلس على أهمية تعزيز التنمية الاقتصادية الشاملة في الدول النامية لتحقيق أهداف التنمية المستدامة.,يؤكد المجلس على أهمية تعزيز التنمية في الدول النامية لتحقيق أهداف التنمية المستدامة.,The Council emphasizes the importance of promoting comprehensive economic development in developing countries to achieve sustainable development goals.
T2_0651,Partial Translation,التنسيق الدولي للمساعدات الإنسانية,[OMITTED], التنسيق الدولي ,يطلب إلى الدول الأعضاء تعزيز التنسيق الدولي للمساعدات الإنسانية لمواجهة الأزمات الإنسانية الطارئة في المناطق المتأثرة بالنزاعات.,يطلب إلى الدول الأعضاء تعزيز التنسيق الدولي لمواجهة الأزمات الإنسانية الطارئة في المناطق المتأثرة بالنزاعات.,The member states are requested to enhance international coordination of humanitarian aid to address urgent humanitarian crises in conflict-affected areas.
T2_0663,Partial Translation,التعاون الإنمائي المشترك,[OMITTED],التعاون,حث الأمين العام جميع الدول الأعضاء على تعزيز التعاون الإنمائي المشترك لدعم الاستقرار الإقليمي والنمو المستدام.,حث الأمين العام جميع الدول الأعضاء على تعزيز التعاون لدعم الاستقرار الإقليمي والنمو المستدام.,The Secretary-General urged all member states to enhance joint development cooperation to support regional stability and sustainable growth.
T2_0671,Partial Translation,المفوضية السامية لحقوق الإنسان,[OMITTED],المفوضية,واستذكر الأمين العام الدور الهام الذي تلعبه المفوضية السامية لحقوق الإنسان في حماية حقوق الإنسان وتعزيزها على الصعيد العالمي.,واستذكر الأمين العام الدور الهام الذي تلعبه في حماية حقوق الإنسان وتعزيزها على الصعيد العالمي.,The Secretary-General recalled the important role played by the High Commissioner for Human Rights in protecting and promoting human rights globally.
T2_0687,Partial Translation,تطبيق أحكام القانون الدولي الإنساني,[OMITTED],تطبيق,أشار التقرير إلى ضرورة تعزيز التعاون الدولي لتطبيق أحكام القانون الدولي الإنساني في حالات النزاع المسلح.,أشار التقرير إلى ضرورة تعزيز التعاون الدولي لتطبيق في حالات النزاع المسلح.,The report noted the need to enhance international cooperation to apply the provisions of international humanitarian law in situations of armed conflict.
T2_0753,Partial Translation,التعاون الدبلوماسي بين الدول الأعضاء,[OMITTED],بين الدول الأعضاء,يقرر أن يتم تعزيز التعاون الدبلوماسي بين الدول الأعضاء في المنظمة لتحقيق السلام المستدام في المنطقة.,يقرر أن يتم تعزيز بين الدول الأعضاء في المنظمة لتحقيق السلام المستدام في المنطقة.,It is decided that diplomatic cooperation among member states of the organization will be strengthened to achieve sustainable peace in the region.
T2_0764,Partial Translation,التعاون العسكري الدولي,[OMITTED],التعاون,أعلن المجلس عن أهمية التعاون العسكري الدولي بين الدول لمواجهة التحديات الأمنية المتزايدة.,أعلن المجلس عن أهمية التعاون بين الدول لمواجهة التحديات الأمنية المتزايدة.,The council announced the importance of international military cooperation between countries to address the growing security challenges.
T2_0778,Partial Translation,المفاوضات الدبلوماسية الرسمية,[OMITTED],المفاوضات,يقرر أن تبدأ البعثة بإجراء المفاوضات الدبلوماسية الرسمية مع الحكومة الجديدة لتعزيز التعاون الثنائي.,يقرر أن تبدأ البعثة بإجراء المفاوضات مع الحكومة الجديدة لتعزيز التعاون الثنائي.,It is decided that the mission will commence official diplomatic negotiations with the new government to enhance bilateral cooperation.
T2_0783,Partial Translation,التقرير السنوي للمفوضية السامية لشؤون اللاجئين,[OMITTED], التقرير السنوي,يرحب الأمين العام بالتقرير السنوي للمفوضية السامية لشؤون اللاجئين ويتطلع إلى تنفيذ التوصيات الواردة فيه لتعزيز الدعم للاجئين.,يرحب الأمين العام بالتقرير السنوي ويتطلع إلى تنفيذ التوصيات الواردة فيه لتعزيز الدعم للاجئين.,The Secretary-General welcomes the annual report of the UNHCR and looks forward to implementing the recommendations contained therein to enhance support for refugees.
T2_0804,Partial Translation,التحليل العسكري المفصل,[OMITTED],التحليل,تطلب اللجنة إجراء التحليل العسكري المفصل للوضع الحالي لضمان اتخاذ الإجراءات المناسبة في المناطق المتأثرة.,تطلب اللجنة إجراء التحليل للوضع الحالي لضمان اتخاذ الإجراءات المناسبة في المناطق المتأثرة.,The committee requests a detailed military analysis of the current situation to ensure appropriate actions are taken in affected areas.
T2_0807,Partial Translation,المسائل القانونية الدولية,[OMITTED],المسائل,يرحب المجلس بالتعاون بين الدول لحل المسائل القانونية الدولية في إطار الميثاق وتعزيز السلام والأمن.,يرحب المجلس بالتعاون بين الدول لحل المسائل في إطار الميثاق وتعزيز السلام والأمن.,The Council welcomes the cooperation between states to resolve international legal matters within the framework of the Charter and enhance peace and security.
