eval_id,Sentence_ID,Sub-Subtype,Keyword,Best_Match,ar,mt_output,en,Severity_Score,TQA_Category,tier,source,Q1_Error_Implemented,Q2_Linguistically_Correct,Q3_Minimal_Pair,Q4_Anchor_Accurate,Q5_Naturalness,Q6_Domain_Appropriate,Notes,Annotator_ID,eval_tier,Technical_Score,Quality_Score,Overall_Score,Status,anchor_validity,phenomenon_clarity,arabic_naturalness,collateral_severity,tier2_seed_recommendation
T2_EVAL_0001,TIER2_Adjective_to_Noun_844b8c4f,Adjective to Noun,المشتركة,شراكة,أوصى الأمين العام بتعزيز الجهود المشتركة لتحقيق الأمن والاستقرار في المنطقة.,أوصى الأمين العام بتعزيز الجهود شراكة لتحقيق الأمن والاستقرار في المنطقة.,The Secretary-General recommended strengthening joint efforts to achieve security and stability in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,3.0,1.0,1.0
T2_EVAL_0002,TIER2_Noun_to_Adjective_ae1a066f,Noun to Adjective,الاستقرار,المستقر,يقرر أن الاستقرار في المنطقة يتطلب تعاونا دوليا مكثفا وجهودا مستمرة لتعزيز السلام.,يقرر أن المستقر في المنطقة يتطلب تعاونا دوليا مكثفا وجهودا مستمرة لتعزيز السلام.,It is decided that stability in the region requires intensive international cooperation and ongoing efforts to promote peace.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,4.0,1.0,1.0
T2_EVAL_0003,TIER2_Adjective_to_Noun_52e0ae30,Adjective to Noun,القانونية,القانون,قرر المجلس تعزيز التعاون بين الدول الأعضاء لمواجهة التحديات القانونية المتعلقة بالمعاهدة.,قرر المجلس تعزيز التعاون بين الدول الأعضاء لمواجهة التحديات القانون المتعلقة بالمعاهدة.,The council decided to enhance cooperation among member states to address the legal challenges related to the treaty.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,3.0,1.0,1.0
T2_EVAL_0004,TIER2_Spelling_Error_752a27f9,Spelling Error,التقييمات,التقيمات,واستذكر الفريق أن التقييمات المستقلة ضرورية لضمان فعالية استراتيجيات المساعدات الإنسانية للنازحين.,واستذكر الفريق أن التقيمات المستقلة ضرورية لضمان فعالية استراتيجيات المساعدات الإنسانية للنازحين.,The team recalled that independent assessments are necessary to ensure the effectiveness of humanitarian aid strategies for the displaced.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0005,TIER2_Adjective_to_Noun_2b89f7f2,Adjective to Noun,السلمية,السلام,أوصى المجلس بتكثيف الجهود الدبلوماسية لتحقيق الحلول السلمية في المنطقة.,أوصى المجلس بتكثيف الجهود الدبلوماسية لتحقيق الحلول السلام في المنطقة.,The council recommended intensifying diplomatic efforts to achieve peaceful solutions in the region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,3.0,1.0,1.0
T2_EVAL_0006,TIER2_Name_Entity_Error_93dcd42d,Name Entity Error,المعاهدة الدولية لحقوق الطفل,الاتفاقية الدولية لحقوق الطفل,أعربت اللجنة عن التزامها الكامل بتعزيز المعاهدة الدولية لحقوق الطفل والعمل على تنفيذها في جميع الدول الأعضاء.,أعربت اللجنة عن التزامها الكامل بتعزيز الاتفاقية الدولية لحقوق الطفل والعمل على تنفيذها في جميع الدول الأعضاء.,The committee expressed its full commitment to promoting the International Treaty on the Rights of the Child and working on its implementation in all member states.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0007,TIER2_Tense_Shift_Under_Negation_819ad7af,Tense Shift Under Negation,لم نتوصل,لن نتوصل,يؤكد المجلس أن المفاوضات لم نتوصل بعد إلى نتائج ملموسة بشأن تعزيز السلام والأمن في المنطقة المتأثرة بالنزاع.,يؤكد المجلس أن المفاوضات لن نتوصل بعد إلى نتائج ملموسة بشأن تعزيز السلام والأمن في المنطقة المتأثرة بالنزاع.,The Council affirms that the negotiations have not yet reached tangible results regarding the enhancement of peace and security in the conflict-affected region.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0008,TIER2_Hyponym_for_Hypernym_1aa04e21,Hyponym for Hypernym,الامتثال,الالتزام,يرحب الأمين العام بالتقدم المحرز في الامتثال للقانون الدولي الإنساني من قبل جميع الأطراف المعنية في النزاع.,يرحب الأمين العام بالتقدم المحرز في الالتزام بالقانون الدولي الإنساني من قبل جميع الأطراف المعنية في النزاع.,The Secretary-General welcomes the progress made in compliance with international humanitarian law by all parties involved in the conflict.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0009,TIER2_Terminology_Substitution_2fb32b88,Terminology Substitution,الامتثال لأحكام القانون الدولي,احترام القوانين الدولية,يقرر أن جميع الدول الأعضاء يجب أن تلتزم بدقة بالامتثال لأحكام القانون الدولي لضمان السلام والأمن الدوليين.,يقرر أن جميع الدول الأعضاء يجب أن تلتزم بدقة باحترام القوانين الدولية لضمان السلام والأمن الدوليين.,It is decided that all member states must strictly adhere to compliance with the provisions of international law to ensure international peace and security.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
T2_EVAL_0010,TIER2_Name_Entity_Error_eccc5221,Name Entity Error,معاهدة نزع السلاح النووي,معاهدة الحد من انتشار الأسلحة النووية,أشار المندوب إلى أهمية الالتزام بمعاهدة نزع السلاح النووي لتحقيق السلام العالمي.,أشار المندوب إلى أهمية الالتزام بمعاهدة الحد من انتشار الأسلحة النووية لتحقيق السلام العالمي.,The delegate pointed out the importance of adhering to the Nuclear Disarmament Treaty to achieve global peace.,,,Tier2,LLM_Generated,,,,,,,,,Tier2,0.0,0.3,0.12,REVIEW,5.0,5.0,5.0,1.0,1.0
