Sentence_ID,Sub-Subtype,Keyword,Best_Match,ar,mt_output,en,severity_score,severity_level,label_id,passed,reject_reason,csr,ocs,sfr,cps,mpqs,mpqs_mode,regime,quality_tier,flags,ocs_failed_constraints,cps_threshold,sfr_threshold_min,sfr_threshold_max,kw_count_clean_tok,kw_count_error_tok,bm_count_error_tok,ocs_norm_level,kw_norm,bm_norm,ocs_rescued_by,ocs_match_rule_kw,ocs_match_rule_bm,domain
WMT_0000,Meaning Shift,عن الأرض والمية في,للأرض والمياه تتوسط,رسومات سيسو عن الأرض والمية في معرضه الجديد,رسومات سيسو للأرض والمياه تتوسط معرضه الفني الجديد,"Siso's depictions of land, water center new gallery exhibition",2,Moderate,0,True,sfr_above_maximum,0.6599999999999999,1.0,0.9001894593238831,0.8064516129032258,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,عن الارض والمية في,للارض والمياه تتوسط,,exact_seq,exact_seq,news
WMT_0001,Meaning Shift,ناس بتعوم,يسبح الناس,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",1,Minor,0,True,sfr_above_maximum,0.7058823529411764,1.0,0.9027992486953736,0.7482517482517482,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,ناس بتعوم,يسبح الناس,,exact_seq,exact_seq,news
WMT_0003,Meaning Shift,هو واحد من,هي إحدى,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",2,Moderate,0,True,sfr_above_maximum,0.7058823529411764,1.0,0.9027992486953736,0.7328767123287672,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,هو واحد من,هي احدي,,exact_seq,exact_seq,news
WMT_0004,Meaning Shift,اللي هتتعرض,الفنية التي ستُعرض,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",2,Moderate,0,True,sfr_above_maximum,0.7058823529411764,1.0,0.9027992486953736,0.7410071942446044,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,اللي هتتعرض,الفنية التي ستُعرض,,exact_seq,exact_seq,news
WMT_0005,Meaning Shift,"""تيرا ديل سول"" اللي هيبدأ",Tierra del Sol الذي سيبدأ,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",2,Moderate,0,True,sfr_above_maximum,0.7058823529411764,1.0,0.9027992486953736,0.765625,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,"""تيرا ديل سول"" اللي هيبدا",Tierra del Sol الذي سيبدا,,exact_seq,exact_seq,news
WMT_0006,Meaning Shift,من فيسنتي,لفيسنتي,"ناس بتعوم في حمام السباحة من سنة 2022 هو واحد من أعمال فيسنتي سيسو اللي هتتعرض في معرض ""تيرا ديل سول"" اللي هيبدأ يوم 13 يناير. (الصورة من فيسنتي سيسو)",يسبح الناس في حمام السباحة من عام 2022 هي إحدى أعمال فيسنتي سيسو الفنية التي ستُعرض في معرض Tierra del Sol الذي سيبدأ يوم 13 يناير. (الصورة لفيسنتي سيسو),"""People Swimming in the Swimming Pool"" from 2022 is one Vicente Siso artwork that will display at Tierra del Sol Gallery beginning Jan. 13. (photo courtesy of Vicente Siso)",1,Minor,0,True,sfr_above_maximum,0.7058823529411764,1.0,0.9027992486953736,0.7123287671232876,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,2,light,من فيسنتي,لفيسنتي,,exact_seq,kw_prefix_ل,news
WMT_0012,Meaning Shift,شغال,سيسو فنانًا,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,0,True,sfr_above_maximum,0.646875,1.0,0.9807519912719728,0.6487341772151899,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,شغال,سيسو فنانًا,,exact,exact_seq,news
WMT_0014,Meaning Shift,من سنة,منذ عام,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,0,True,sfr_above_maximum,0.646875,1.0,0.9807519912719728,0.6528662420382165,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,من سنة,منذ عام,,exact_seq,exact_seq,news
WMT_0015,Meaning Shift,اتولد سنة,عام,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",1,Minor,0,True,sfr_above_maximum,0.646875,1.0,0.9807519912719728,0.6559485530546624,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,2,light,اتولد سنة,عام,,exact_seq,exact,news
WMT_0016,Meaning Shift,مدريد، وكبر ما,مدريد وترعرع,"Tierra del Sol بتقدم معرض ""فيسنتي سيسو: ذكريات الأرض والمياه"" في المكان الجديد بتاعهم في ويست هوليوود. سيسو فنان كان شغال في برنامج استوديو الفنون من سنة 2012، والمعرض ده أول معرض فردي ليه.
 سيسو اتولد سنة 1962 في مدريد، وكبر ما بين فنزويلا وترينيداد وميامي، وبعد كده نقل مع أهله لجنوب كاليفورنيا وهو في أوائل العشرينات.","يقدم Tierra del Sol ""فيسنتي سيسو: ذكريات الأرض والمياه"" في الموقع الجديد للمعرض في غرب هوليوود. كان سيسو فنانًا في برنامج استديو الفنون منذ عام 2012، وشهد هذا معرضه الفردي الأول. ولد سيسو عام 1962 في مدريد وترعرع بين فينزولا وترينيداد وميامي، وانتقل مع عائلته إلى جنوب كاليفورنيا في أوائل العشرينيات من عمره.","Tierra del Sol is pleased to present ""Vicente Siso: Memories of the Land and Water"" at the new gallery location in West Hollywood. Siso has been an artist in the Studio Arts Program since 2012, this marks his debut solo exhibition. Siso was born 1962 in Madrid and raised between Venezuela, Trinidad and Miami; he moved with his family to Southern California in his early 20s.",2,Moderate,0,True,sfr_above_maximum,0.646875,1.0,0.9807519912719728,0.6503267973856209,1.0,diagnostic,D,,violates_clean_standard,,0.55,0.45,0.78,1,0,1,light,مدريد، وكبر ما,مدريد وترعرع,,exact_seq,exact_seq,news
